alimento,kcal,azucar_anadido,grasa_tot,grasa_sat,sodio,edulcorante,cafeina
"Acelga, cruda",18.0,0.0,0.2,0.03,213.0,False,False
"Acelga, hervida",16.0,0.0,0.1,0.01,179.0,False,False
"Acelga, pencas, crudas",8.0,0.0,0.1,0.02,150.0,False,False
"Acelga, pencas, hervidas",8.0,0.0,0.1,0.02,150.0,False,False
"Achicoria, cruda",12.0,0.0,0.3,0.07,45.0,False,False
"Achicoria, hervida",12.0,0.0,0.3,0.07,45.0,False,False
"Ají en conserva",20.0,0.0,0.3,0.05,14.0,False,False
"Ají rojo / morrón rojo, crudo",22.0,0.0,0.3,0.06,4.0,False,False
"Ají rojo / morrón rojo, rehogado",17.0,0.0,0.2,0.06,4.0,False,False
"Ají verde o amarillo, crudo",22.0,0.0,0.3,0.06,3.0,False,False
"Ají verde o amarillo, rehogado",17.0,0.0,0.2,0.06,3.0,False,False
"Ajo, crudo",91.0,0.0,0.2,0.09,17.0,False,False
"Albahaca, cruda",23.0,0.0,0.6,0.04,4.0,False,False
"Alcaparras, encurtido",24.0,0.0,0.9,0.23,2348.0,False,False
"Alcaucil, crudo",41.0,0.0,0.4,0.04,94.0,False,False
"Alcaucil, hervido",40.0,0.0,0.3,0.08,94.0,False,False
"Apio, crudo",10.0,0.0,0.2,0.04,80.0,False,False
"Apio, hervido",14.0,0.0,0.2,0.04,91.0,False,False
"Arveja, enlatada",104.0,0.0,0.8,0.04,88.0,False,False
"Arveja, fresca, cruda",83.0,0.0,0.4,0.07,38.0,False,False
"Arveja, fresca, hervida",64.0,0.0,0.2,0.04,38.0,False,False
"Berenjena, cruda",16.0,0.0,0.2,0.03,3.0,False,False
"Berenjena, hervida",30.0,0.0,0.2,0.04,3.0,False,False
"Berro, crudo",18.0,0.0,0.3,0.02,60.0,False,False
"Brócoli, crudo",27.0,0.0,0.2,0.11,33.0,False,False
"Brócoli, hervido",29.0,0.0,0.4,0.08,41.0,False,False
"Brotes de soja, crudo",30.0,0.0,0.2,0.05,6.0,False,False
"Brotes de soja, rehogado",54.0,0.0,0.2,0.04,9.0,False,False
"Cebolla de verdeo, cruda",28.0,0.0,0.2,0.03,16.0,False,False
"Cebolla de verdeo, rehogada",29.0,0.0,0.2,0.03,16.0,False,False
"Cebolla, cruda",36.0,0.0,0.1,0.04,4.0,False,False
"Cebolla, rehogada",36.0,0.0,0.1,0.04,4.0,False,False
"Champignones, enlatados",21.0,0.0,0.3,0.04,425.0,False,False
"Champignones, frescos, crudos",24.0,0.0,0.3,0.05,5.0,False,False
"Chaucha, fresca, cruda",29.0,0.0,0.2,0.05,23.0,False,False
"Chaucha, fresca, hervida",29.0,0.0,0.3,0.06,23.0,False,False
"Chuchu o chayote, crudo",16.0,0.0,0.1,0.03,2.0,False,False
"Coliflor, crudo",23.0,0.0,0.2,0.13,41.0,False,False
"Coliflor, hervido",19.0,0.0,0.5,0.07,41.0,False,False
"Escarola, cruda",12.0,0.0,0.2,0.05,10.0,False,False
"Espárrago, crudo",18.0,0.0,0.2,0.05,7.0,False,False
"Espárrago, hervido",20.0,0.0,0.2,0.05,7.0,False,False
"Espinaca, cruda",21.0,0.0,0.39,0.06,79.0,False,False
"Espinaca, hervida",20.0,0.0,0.26,0.109,70.0,False,False
"Habas, cruda",95.0,0.0,0.8,0.2,12.0,False,False
"Habas, hervida",95.0,0.0,0.8,0.2,12.0,False,False
"Hakusai o col china, crudo",13.0,0.0,0.2,0.03,65.0,False,False
"Hinojo, crudo",24.0,0.0,0.2,0.09,52.0,False,False
"Hinojo, hervido",24.0,0.0,0.2,0.09,52.0,False,False
"Hongos, enlatados",21.0,0.0,0.3,0.04,425.0,False,False
"Hongos, frescos, crudos",24.0,0.0,0.3,0.05,5.0,False,False
"Hongos, frescos, rehogados",25.0,0.0,0.33,0.04,12.0,False,False
"Hongos, secos",303.0,0.0,1.0,0.23,13.0,False,False
"Jardinera, enlatada",67.0,0.0,0.2,0.01,250.0,False,False
"Jengibre",77.0,0.0,0.8,0.15,13.0,False,False
"Kale, crudo",26.0,0.0,1.5,0.1,53.0,False,False
"Lechuga, cruda",12.0,0.0,0.2,0.01,13.0,False,False
"Mandioca, cruda",153.0,0.0,0.3,0.07,14.0,False,False
"Mandioca, hervida",153.0,0.0,0.3,0.07,14.0,False,False
"Palmitos, enlatados",25.0,0.0,0.6,0.13,426.0,False,False
"Pepino, crudo",12.0,0.0,0.1,0.08,13.0,False,False
"Perejil, crudo",47.0,0.0,1.0,0.13,56.0,False,False
"Pickles, en vinagre",7.0,0.0,0.2,0.05,1208.0,False,False
"Puerro, crudo",38.0,0.0,0.4,0.04,81.0,False,False
"Puerro, hervido",32.0,0.0,0.2,0.027,10.0,False,False
"Rabanito, crudo",23.0,0.0,0.1,0.03,39.0,False,False
"Radicheta, cruda",14.0,0.0,0.3,0.07,97.0,False,False
"Remolacha, cruda",44.0,0.0,0.2,0.03,51.0,False,False
"Remolacha, hervida",40.0,0.0,0.18,0.03,77.0,False,False
"Repollito de Bruselas, crudos",43.0,0.0,0.5,0.06,25.0,False,False
"Repollito de Bruselas, hervidos",33.0,0.0,0.5,0.1,25.0,False,False
"Repollo, crudo",19.0,0.0,0.1,0.03,18.0,False,False
"Repollo, hervido",20.0,0.0,0.1,0.0,18.0,False,False
"Rúcula, cruda",24.0,0.0,0.7,0.09,27.0,False,False
"Tomate, crudo",17.0,0.0,0.2,0.03,5.0,False,False
"Tomate, desecado",257.0,0.0,3.0,0.43,107.0,False,False
"Tomate, enlatado",12.0,0.0,0.3,0.03,10.0,False,False
"Tomate, hervido",18.0,0.0,0.11,0.044,11.0,False,False
"Tomate, puré de tomate",37.0,0.0,0.2,0.09,67.0,False,False
"Tomates cherry, crudos",23.0,0.0,0.5,0.03,4.0,False,False
"Verdolaga, cruda",19.0,0.0,0.4,0.03,45.0,False,False
"Zanahoria, cruda",43.0,0.0,0.2,0.01,22.0,False,False
"Zanahoria, hervida",26.0,0.0,0.2,0.03,58.0,False,False
"Zapallito, crudo",15.0,0.0,0.3,0.09,2.0,False,False
